-2.50E-02,-2.05E-01,-1.12E-01,4.98E-02
-2.50E-02,-1.24E-01,-1.12E-01,1.30E-01
-2.50E-02,-1.65E-01,-1.52E-01,9.65E-03
-2.49E-02,-1.24E-01,-1.32E-01,4.98E-02
-2.49E-02,-1.24E-01,-1.12E-01,4.98E-02
-2.49E-02,-1.65E-01,-1.52E-01,2.97E-02
-2.49E-02,-8.42E-02,-3.18E-02,4.98E-02
-2.48E-02,-1.04E-01,-1.32E-01,1.30E-01
-2.48E-02,-1.24E-01,-3.18E-02,4.98E-02
-2.48E-02,-2.05E-01,-5.19E-02,1.10E-01
-2.48E-02,-1.65E-01,-1.12E-01,4.98E-02
-2.47E-02,-1.24E-01,-1.32E-01,2.97E-02
-2.47E-02,-2.05E-01,4.86E-02,1.30E-01
-2.47E-02,-1.85E-01,-1.12E-01,1.91E-01
-2.47E-02,-8.42E-02,-1.12E-01,4.98E-02
-2.46E-02,-1.04E-01,-1.12E-01,6.99E-02
-2.46E-02,-4.40E-02,-1.93E-01,1.30E-01
-2.46E-02,-1.45E-01,-1.32E-01,6.99E-02
-2.46E-02,-8.42E-02,-1.52E-01,9.01E-02
-2.45E-02,-6.41E-02,-5.19E-02,-1.05E-02
-2.45E-02,-1.24E-01,-1.12E-01,2.11E-01
-2.45E-02,-1.24E-01,-1.72E-01,1.30E-01
-2.45E-02,-1.24E-01,-1.93E-01,4.98E-02
-2.44E-02,-1.45E-01,-1.12E-01,4.98E-02
-2.44E-02,-2.05E-01,-1.93E-01,4.98E-02
-2.44E-02,-1.24E-01,-1.72E-01,-3.06E-02
-2.44E-02,-2.05E-01,-1.52E-01,9.65E-03
-2.43E-02,-1.85E-01,-1.12E-01,1.50E-01
-2.43E-02,-1.24E-01,-3.18E-02,4.98E-02
-2.43E-02,-2.05E-01,-1.32E-01,4.98E-02
-2.43E-02,-8.42E-02,-1.12E-01,4.98E-02
-2.42E-02,-1.85E-01,-5.19E-02,2.97E-02
-2.42E-02,-1.24E-01,-1.12E-01,4.98E-02
-2.42E-02,-1.24E-01,-1.72E-01,4.98E-02
-2.42E-02,-1.65E-01,-1.12E-01,4.98E-02
-2.41E-02,-1.24E-01,-1.32E-01,1.10E-01
-2.41E-02,-4.40E-02,-1.93E-01,1.30E-01
-2.41E-02,-6.41E-02,-1.32E-01,1.10E-01
-2.41E-02,-1.24E-01,-1.93E-01,4.98E-02
-2.40E-02,1.63E-02,-1.12E-01,4.98E-02
-2.40E-02,-1.24E-01,-1.12E-01,4.98E-02
-2.40E-02,-1.24E-01,-1.12E-01,6.99E-02
-2.40E-02,-1.24E-01,8.44E-03,1.70E-01
-2.39E-02,-1.24E-01,-1.93E-01,6.99E-02
-2.39E-02,-1.24E-01,4.86E-02,4.98E-02
-2.39E-02,-1.85E-01,-9.21E-02,4.98E-02
-2.39E-02,-1.65E-01,-1.12E-01,4.98E-02
-2.38E-02,-1.04E-01,-1.93E-01,1.10E-01
-2.38E-02,-1.24E-01,-1.12E-01,4.98E-02
-2.38E-02,-6.41E-02,-1.12E-01,4.98E-02
-2.38E-02,-8.42E-02,-1.52E-01,9.01E-02
-2.37E-02,-6.41E-02,-1.12E-01,4.98E-02
-2.37E-02,-4.40E-02,-3.18E-02,4.98E-02
-2.37E-02,-2.05E-01,-3.18E-02,1.10E-01
-2.37E-02,-8.42E-02,-1.52E-01,1.30E-01
-2.36E-02,-8.42E-02,-1.12E-01,4.98E-02
-2.36E-02,-4.40E-02,4.86E-02,4.98E-02
-2.36E-02,-1.85E-01,-9.21E-02,1.10E-01
-2.36E-02,-1.65E-01,-7.20E-02,4.98E-02
